source_event_id,event_name,market_prob_away_raw,market_prob_draw_raw,market_prob_home_raw,away_odds_mean,draw_odds_mean,home_odds_mean,event_start_ts_utc,target,overround,market_prob_home,market_prob_draw,market_prob_away,market_prob_mean,market_prob_std,feature_stub,pred_prob_class_1,edge,signal,pnl_unit,cum_pnl_unit
2223:445:Halifax:Yeovil,Halifax vs Yeovil,0.25,0.3076923076923077,0.5405405405405405,4.0,3.25,1.85,2023-03-18 00:00:00+00:00,0,1.0982328482328483,0.4921911973497396,0.2801703738760057,0.2276384287742546,0.4921911973497396,0.14005986946279303,0.696420047732697,0.5166799065001209,0.02448870915038126,1,-1.0,8.894859449213104
2223:444:Gateshead:Torquay,Gateshead vs Torquay,0.23809523809523808,0.26666666666666666,0.5882352941176471,4.2,3.75,1.7,2023-03-18 00:00:00+00:00,0,1.092997198879552,0.5381855458739108,0.24397744746283953,0.2178370066632496,0.5381855458739108,0.177888033319773,0.6961813842482101,0.6776920750078093,0.1395065291338985,1,-1.0,7.894859449213104
2223:443:Eastleigh:Altrincham,Eastleigh vs Altrincham,0.37037037037037035,0.3076923076923077,0.4081632653061224,2.7,3.25,2.45,2023-03-18 00:00:00+00:00,1,1.0862259433688006,0.3757627662991114,0.2832673161331763,0.34096991756771217,0.3757627662991114,0.04671819923141643,0.6959427207637232,0.4801444518909922,0.10438168559188082,1,1.6612535612535617,9.556113010466666
2223:442:Dag and Red:Oldham,Dag and Red vs Oldham,0.3225806451612903,0.3125,0.45454545454545453,3.1,3.2,2.2,2023-03-18 00:00:00+00:00,0,1.0896260997067448,0.41715727502102606,0.28679562657695545,0.2960470984020185,0.41715727502102606,0.0727408917513304,0.6957040572792363,0.3926271206064854,-0.02453015441454065,0,-0.0,9.556113010466666
2223:441:Bromley:Wrexham,Bromley vs Wrexham,0.6369426751592356,0.2631578947368421,0.2,1.57,3.8,5.0,2023-03-18 00:00:00+00:00,0,1.1001005698960777,0.1818015602145295,0.23921257922964406,0.5789858605558265,0.1818015602145295,0.21466923248147776,0.6954653937947494,0.1291460721495474,-0.0526554880649821,0,-0.0,9.556113010466666
2223:440:Barnet:Notts County,Barnet vs Notts County,0.625,0.2631578947368421,0.21052631578947367,1.6,3.8,4.75,2023-03-18 00:00:00+00:00,0,1.0986842105263157,0.19161676646706588,0.23952095808383234,0.5688622754491018,0.19161676646706588,0.2053755458282308,0.6952267303102625,0.1291460721495474,-0.06247069431751848,0,-0.0,9.556113010466666
2223:439:Woking:Chesterfield,Woking vs Chesterfield,0.35714285714285715,0.3333333333333333,0.4,2.8,3.0,2.5,2023-03-18 00:00:00+00:00,0,1.0904761904761906,0.3668122270742358,0.30567685589519644,0.32751091703056767,0.3668122270742358,0.030980781155447994,0.6947494033412888,0.3791894278431569,0.012377200768921126,0,-0.0,9.556113010466666
2223:449:Southend:Aldershot,Southend vs Aldershot,0.23809523809523808,0.2631578947368421,0.5988023952095809,4.2,3.8,1.67,2023-03-18 00:00:00+00:00,0,1.100055528041661,0.5443383356070942,0.23922237380627556,0.21643929058663028,0.5443383356070942,0.18309041607539345,0.6973747016706444,0.6284904477130644,0.08415211210597018,1,-1.0,8.556113010466666
2223:459:Torquay:Dag and Red,Torquay vs Dag and Red,0.4166666666666667,0.3125,0.3802281368821293,2.4,3.2,2.63,2023-03-25 00:00:00+00:00,0,1.109394803548796,0.34273473759371653,0.2816851124598358,0.37558014994644773,0.34273473759371653,0.04764828766811487,0.7000000000000001,0.26133979349554554,-0.081394944098171,0,-0.0,8.556113010466666
2223:458:Oldham:Solihull,Oldham vs Solihull,0.3921568627450981,0.29411764705882354,0.4347826086956522,2.55,3.4,2.3,2023-03-25 00:00:00+00:00,0,1.1210571184995737,0.3878326996197719,0.2623574144486692,0.349809885931559,0.3878326996197719,0.06433987399998507,0.6997613365155131,0.3558519063215243,-0.0319807932982476,0,-0.0,8.556113010466666
